ID,Mass,Bfld,Type
217496,1671767200.0,6.6176805,Pre-Infall
219033,89649370000.0,3.25335,Pre-Infall
219034,30547030000.0,0.95644295,Pre-Infall
219035,20124578000.0,12.75712,Pre-Infall
219037,13291479000.0,7.853655,Pre-Infall
219038,7273274400.0,6.8190384,Pre-Infall
219039,2612280000.0,5.061438,Pre-Infall
219040,4770494500.0,4.7697463,Pre-Infall
220557,250387550000.0,1.844356,Pre-Infall
220560,97632510000.0,0.91462433,Pre-Infall
220561,38148300000.0,2.433243,Pre-Infall
220562,27195197000.0,0.07728518,Pre-Infall
220563,7235060000.0,2.4819412,Pre-Infall
220564,49452708000.0,3.3293867,Pre-Infall
220566,18951290000.0,13.317026,Pre-Infall
220567,33275398000.0,1.3169422,Pre-Infall
220569,8857358000.0,4.61775,Pre-Infall
220571,8256022000.0,5.5051093,Pre-Infall
220581,2433325800.0,3.1880727,Pre-Infall
220582,1622256800.0,0.7068438,Pre-Infall
220584,1913714700.0,2.7749321,Pre-Infall
220586,2713968000.0,1.9308854,Pre-Infall
220591,3062549500.0,2.4609752,Pre-Infall
220592,5861177300.0,129.92116,Pre-Infall
222268,91081870000.0,3.51737,Pre-Infall
222269,42433160000.0,12.914482,Pre-Infall
222271,21980551000.0,25.438118,Pre-Infall
222272,23865715000.0,15.406764,Pre-Infall
222273,7957111300.0,4.3563776,Pre-Infall
222274,12883656000.0,4.228565,Pre-Infall
222275,15173154000.0,13.050472,Pre-Infall
222278,8431002000.0,4.251541,Pre-Infall
222281,8862105000.0,7.0372815,Pre-Infall
222294,1716281600.0,1.0134414,Pre-Infall
222295,3906807300.0,2.1897683,Pre-Infall
222298,2004441600.0,1.2249755,Pre-Infall
222300,2013868200.0,3.0491402,Pre-Infall
222301,1084676000.0,1.6810757,Pre-Infall
223897,117742576000.0,7.153324,Pre-Infall
223901,66911360000.0,18.983381,Pre-Infall
223903,32734611000.0,9.37316,Pre-Infall
223905,3565919500.0,5.6629305,Pre-Infall
223907,13531189000.0,5.3822675,Pre-Infall
223908,15789397000.0,15.069417,Pre-Infall
223909,1504384500.0,5.7473936,Pre-Infall
223910,2997125600.0,2.951775,Pre-Infall
223914,1638458800.0,3.1379545,Pre-Infall
225156,155899610000.0,4.3629704,Pre-Infall
225158,81888070000.0,2.4067473,Pre-Infall
225159,51838304000.0,1.337382,Pre-Infall
225160,18766471000.0,7.5142026,Pre-Infall
226195,52859843000.0,0.4780577,Pre-Infall
226196,57002210000.0,0.8603832,Pre-Infall
226198,68808660000.0,11.819863,Pre-Infall
226199,4967988700.0,2.7494714,Pre-Infall
226202,2342317600.0,3.8516023,Pre-Infall
226203,3773807400.0,2.7043395,Pre-Infall
226204,6749715500.0,12.085107,Pre-Infall
227579,8713593000.0,5.7167263,Pre-Infall
227580,4193871400.0,8.762137,Pre-Infall
227581,7824835600.0,3.5552948,Pre-Infall
227584,3453474300.0,10.264455,Pre-Infall
227585,3479015400.0,3.7022111,Pre-Infall
228682,102892225000.0,0.3561105,Pre-Infall
228690,9438236000.0,4.866786,Pre-Infall
228691,4882446300.0,4.0678525,Pre-Infall
228692,2307782000.0,5.8237643,Pre-Infall
228697,4278360800.0,1.1933237,Pre-Infall
230236,47728160000.0,1.4178623,Pre-Infall
230237,50058064000.0,0.23461197,Pre-Infall
230238,25703662000.0,7.3270087,Pre-Infall
230240,22519249000.0,6.3609076,Pre-Infall
230243,1917885000.0,2.1845489,Pre-Infall
230245,2821514500.0,5.7958884,Pre-Infall
230246,11314007000.0,3.5087032,Pre-Infall
230251,1204064300.0,1.6495816,Pre-Infall
231711,31638700000.0,9.673424,Pre-Infall
231712,12935634000.0,4.990282,Pre-Infall
231713,10549237000.0,2.615088,Pre-Infall
231714,2613419800.0,6.782207,Pre-Infall
231715,3426223600.0,5.399097,Pre-Infall
231717,7214258700.0,4.9758744,Pre-Infall
231719,1564141800.0,5.131153,Pre-Infall
231721,1678728600.0,2.2779012,Pre-Infall
231722,3357347000.0,1.4644042,Pre-Infall
233222,16918669000.0,6.0332594,Pre-Infall
233225,5519244000.0,2.0300107,Pre-Infall
233230,4405064000.0,2.7495954,Pre-Infall
233242,1456072100.0,1.9892912,Pre-Infall
234515,58833380000.0,0.34698808,Pre-Infall
234516,32353960000.0,0.4789113,Pre-Infall
234517,28808008000.0,6.4860196,Pre-Infall
234523,3149212700.0,8.218616,Pre-Infall
234524,4217848000.0,8.705913,Pre-Infall
234526,3735151600.0,2.7427387,Pre-Infall
234527,5759662000.0,2.475411,Pre-Infall
234529,4125925600.0,1.0237026,Pre-Infall
234530,3357016000.0,3.6809769,Pre-Infall
234535,1208430200.0,2.4504116,Pre-Infall
235693,49328333000.0,1.2392567,Pre-Infall
235694,20428204000.0,4.7856607,Pre-Infall
235695,7644346000.0,5.418271,Pre-Infall
235696,23582034000.0,3.811396,Pre-Infall
235697,14634010000.0,3.8996196,Pre-Infall
235699,8063587300.0,7.444702,Pre-Infall
235700,8873022000.0,4.1746163,Pre-Infall
235701,10387220000.0,10.921699,Pre-Infall
235703,6304941600.0,2.3081465,Pre-Infall
235704,5542504400.0,5.1319456,Pre-Infall
236759,35966456000.0,7.5379257,Pre-Infall
236762,13048616000.0,7.54372,Pre-Infall
236763,7786807000.0,5.648925,Pre-Infall
236764,16580065000.0,7.0480337,Pre-Infall
